player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,corner_taken,offsides,dribbles,total_attempts,on_target,off_target,blocked,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_completed,freekicks_taken,fouls_committed,fouls_suffered,yellow,red,balls_recoverd,tackles,tackles_won,tackles_lost,clearance_attempted,saved,conceded,saved_penalties,cleansheets,punches_made
Courtois,Real Madrid,Goalkeeper,1230,13,0,0,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.7,483,365,0,0,0,27,0,0,0,0,0,0,0,0,0,61,14,1,5,4
Vinícius Júnior,Real Madrid,Forward,1199,13,4,6,133.0,3,4,83,27,8,10,9,3,1,0,0,4,0,0,83.1,451,377,31,19,6,0,13,24,0,1,29,11,3,8,0,0,0,0,0,0
Benzema,Real Madrid,Forward,1106,12,15,1,121.5,2,9,18,45,23,13,9,11,1,3,0,13,2,3,83.1,523,433,20,10,2,4,2,4,0,1,6,1,1,0,10,0,0,0,0,0
Modrić,Real Madrid,Midfielder,1077,13,0,4,124.5,10,0,8,14,5,3,6,0,0,0,0,0,0,0,89.8,799,723,25,12,3,26,3,8,0,1,39,9,3,6,4,0,0,0,0,0
Éder Militão,Real Madrid,Defender,1076,12,0,0,110.4,0,0,0,9,4,5,0,0,0,0,0,0,0,0,87.5,643,563,0,2,0,17,17,16,0,4,76,19,6,13,32,0,0,0,0,0
Alaba,Real Madrid,Defender,1040,12,1,0,112.3,0,0,0,5,1,1,3,0,1,0,0,0,1,0,92.3,657,606,11,17,2,21,9,1,0,1,49,18,12,6,28,0,0,0,0,0
Carvajal,Real Madrid,Defender,959,11,0,1,112.8,0,1,9,5,2,3,0,0,0,0,0,0,0,0,87.3,576,503,34,23,8,11,15,6,0,3,50,12,6,6,30,0,0,0,0,0
Casemiro,Real Madrid,Midfielder,914,11,0,0,107.6,0,0,0,10,2,6,2,0,0,0,0,0,0,0,89.1,538,482,25,4,1,6,17,18,0,3,76,31,13,18,19,0,0,0,0,0
Kroos,Real Madrid,Midfielder,902,12,2,0,116.5,0,0,0,12,7,1,4,1,1,0,0,0,2,0,91.9,814,752,20,34,7,44,7,18,0,0,37,11,5,6,4,0,0,0,0,0
Mendy,Real Madrid,Defender,867,10,0,2,96.3,0,0,8,2,0,2,0,0,0,0,0,0,0,0,91.1,413,376,25,12,3,4,7,7,0,3,36,6,5,1,15,0,0,0,0,0
Valverde,Real Madrid,Midfielder,804,11,0,1,96.7,0,3,10,9,0,4,5,0,0,0,0,0,0,0,85.4,395,336,20,15,3,1,4,5,0,2,29,13,7,6,10,0,0,0,0,0
Nacho,Real Madrid,Defender,574,9,0,0,61.9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,91.0,304,283,16,6,1,5,7,7,0,2,27,10,4,6,14,0,0,0,0,0
Rodrygo,Real Madrid,Forward,505,11,5,2,65.7,1,1,20,23,10,7,6,2,2,1,0,5,0,0,77.6,209,183,38,13,5,3,5,11,0,1,14,2,1,1,3,0,0,0,0,0
Lucas Vázquez,Real Madrid,Midfielder,349,8,0,1,47.4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,83.6,239,207,25,12,3,2,4,8,0,1,13,2,0,2,6,0,0,0,0,0
Camavinga,Real Madrid,Midfielder,296,10,0,1,40.2,0,1,2,2,0,2,0,0,0,0,0,0,0,0,87.7,179,158,0,1,0,7,5,10,0,1,19,17,9,8,6,0,0,0,0,0
Asensio,Real Madrid,Forward,207,8,1,2,28.4,5,0,1,5,3,0,2,0,1,0,0,0,1,0,72.6,89,75,25,4,1,1,2,0,0,0,3,1,0,1,1,0,0,0,0,0
Jović,Real Madrid,Forward,113,3,0,0,12.9,0,0,0,4,1,2,1,0,0,0,0,0,0,0,90.3,40,36,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0
Marcelo,Real Madrid,Defender,93,3,0,0,10.7,0,0,0,2,0,1,1,0,0,0,0,0,0,0,85.0,63,55,33,3,1,1,1,0,0,0,4,0,0,0,3,0,0,0,0,0
E. Hazard,Real Madrid,Forward,84,3,0,0,10.8,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Miguel Gutiérrez,Real Madrid,Defender,66,1,0,0,7.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Ceballos,Real Madrid,Midfielder,37,5,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0
Mariano Díaz,Real Madrid,Forward,12,1,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vallejo,Real Madrid,Defender,8,2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
Bale,Real Madrid,Forward,7,2,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blanco,Real Madrid,Midfielder,6,1,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,Liverpool,Goalkeeper,1170,13,0,0,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.7,461,415,0,0,0,16,0,0,0,0,0,0,0,0,0,15,14,0,4,3
Salah,Liverpool,Forward,1008,13,8,2,112.0,0,5,49,42,22,11,9,0,8,0,0,7,1,1,81.2,426,346,9,11,1,1,4,12,0,0,12,0,0,0,0,0,0,0,0,0
Fabinho,Liverpool,Midfielder,849,13,1,0,105.5,0,0,0,5,1,2,2,1,0,0,0,1,0,0,90.3,595,549,0,2,0,9,14,11,0,1,74,23,9,14,8,0,0,0,0,0
Robertson,Liverpool,Defender,826,10,0,2,97.7,27,1,9,5,2,2,1,0,0,0,0,0,0,0,81.1,628,512,25,63,16,22,5,3,0,1,44,4,3,1,14,0,0,0,0,0
Mané,Liverpool,Midfielder,822,13,5,1,100.3,0,9,17,21,8,6,7,2,3,0,0,5,0,0,79.0,278,219,30,10,3,1,16,19,0,2,9,4,1,3,1,0,0,0,0,0
Van Dijk,Liverpool,Defender,810,9,0,1,82.8,0,2,0,6,3,1,2,0,0,0,0,0,0,0,90.7,667,609,0,1,0,10,4,2,0,1,62,3,2,1,29,0,0,0,0,0
Alexander0Arnold,Liverpool,Defender,794,9,0,4,86.8,36,0,9,12,1,6,5,0,0,0,0,0,0,0,80.0,685,556,29,81,24,28,5,6,0,2,51,1,0,1,18,0,0,0,0,0
Konaté,Liverpool,Defender,720,8,2,0,78.5,0,0,0,6,2,3,1,0,0,2,0,2,0,0,89.5,515,465,0,0,0,16,11,3,0,1,53,16,11,5,17,0,0,0,0,0
Henderson,Liverpool,Midfielder,666,12,1,2,85.7,0,0,2,12,4,4,4,1,0,0,0,0,1,0,86.2,602,530,35,17,6,6,10,4,0,0,29,3,1,2,1,0,0,0,0,0
Matip,Liverpool,Defender,630,7,0,0,66.2,0,0,0,5,2,2,1,0,0,0,0,0,0,0,94.2,498,467,0,0,0,14,6,1,0,1,34,5,1,4,15,0,0,0,0,0
Thiago Alcántara,Liverpool,Midfielder,604,10,1,0,77.9,0,0,0,9,3,6,0,1,0,0,0,0,1,0,91.8,553,508,50,2,1,12,5,7,0,1,40,16,11,5,5,0,0,0,0,0
Diogo Jota,Liverpool,Forward,578,11,1,1,73.9,0,4,19,16,7,4,5,0,0,1,0,1,0,0,80.5,234,189,0,1,0,0,11,6,0,2,13,7,2,5,1,0,0,0,0,0
Keïta,Liverpool,Midfielder,487,10,1,2,61.5,0,0,6,14,2,8,4,1,0,0,0,0,1,0,87.9,354,313,0,4,0,5,15,7,0,0,21,8,2,6,7,0,0,0,0,0
Luis Díaz,Liverpool,Forward,385,7,2,1,49.9,0,2,42,0,0,0,0,2,1,1,0,4,0,0,83.8,341,282,18,11,2,0,0,0,0,0,16,8,3,5,2,0,0,0,0,0
Tsimikas,Liverpool,Defender,344,5,0,2,42.7,16,0,4,0,0,0,0,0,0,0,0,0,0,0,78.6,201,165,22,40,9,8,4,8,0,0,26,2,1,1,10,0,0,0,0,0
Firmino,Liverpool,Midfielder,323,7,5,0,43.0,0,0,0,13,5,2,6,3,1,1,0,4,1,0,85.7,176,150,0,0,0,0,4,2,0,0,17,2,1,1,1,0,0,0,0,0
Oxlade0Chamberlain,Liverpool,Midfielder,300,6,0,1,38.6,9,0,6,10,3,4,3,0,0,0,0,0,0,0,85.3,165,141,20,10,2,5,2,2,0,0,17,1,1,0,4,0,0,0,0,0
Gomez,Liverpool,Defender,245,7,0,0,30.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,75.4,200,173,0,1,0,2,1,0,0,0,14,0,0,0,5,0,0,0,0,0
Minamino,Liverpool,Forward,215,4,0,0,29.7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,93.0,76,69,0,1,0,1,3,3,0,0,6,2,0,2,0,0,0,0,0,0
Milner,Liverpool,Midfielder,211,8,0,1,32.0,4,0,1,2,1,0,1,0,0,0,0,0,0,0,57.5,157,116,22,9,2,7,12,4,0,3,5,6,3,3,6,0,0,0,0,0
Origi,Liverpool,Forward,187,7,1,1,23.8,0,0,3,12,2,8,2,0,0,1,0,1,0,0,74.7,47,35,0,3,0,0,4,6,0,0,5,1,0,1,0,0,0,0,0,0
Jones,Liverpool,Midfielder,185,4,0,2,27.1,0,1,0,7,4,1,2,0,0,0,0,0,0,0,86.3,132,118,0,1,0,3,3,5,0,0,6,0,0,0,1,0,0,0,0,0
N. Williams,Liverpool,Defender,180,3,0,0,23.5,0,0,0,3,1,1,1,0,0,0,0,0,0,0,73.0,100,76,42,7,3,1,4,4,0,0,10,6,2,4,1,0,0,0,0,0
Morton,Liverpool,Midfielder,180,2,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,76,67,0,0,0,2,1,1,0,0,9,5,4,1,2,0,0,0,0,0
Phillips,Liverpool,Defender,91,2,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,37,33,0,0,0,1,2,0,0,0,5,1,1,0,3,0,0,0,0,0
Elliott,Liverpool,Midfielder,59,1,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woltman,Liverpool,Midfielder,1,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley,Liverpool,Midfielder,1,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pau Torres,Villarreal,Defender,1080,12,1,0,124.2,0,0,0,4,1,3,0,1,0,0,0,1,0,0,88.0,506,457,0,0,0,16,3,2,0,1,49,7,3,4,62,0,0,0,0,0
Rulli,Villarreal,Goalkeeper,1080,12,0,0,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.2,489,332,0,0,0,53,0,0,0,0,0,0,0,0,0,41,16,0,3,12
Parejo,Villarreal,Midfielder,1055,12,1,3,130.9,36,0,4,5,1,4,0,0,1,0,0,1,0,0,84.3,657,560,56,37,21,52,4,17,0,2,48,17,8,9,5,0,0,0,0,0
Capoue,Villarreal,Midfielder,1046,12,2,4,130.9,0,0,17,9,3,4,2,1,1,0,0,2,0,0,87.2,491,438,50,2,1,4,19,17,1,3,62,11,1,10,29,0,0,0,0,0
Albiol,Villarreal,Defender,1045,12,0,0,115.7,0,0,0,2,0,1,1,0,0,0,0,0,0,0,85.9,440,385,0,1,0,14,9,6,0,1,73,9,6,3,62,0,0,0,0,0
Ederson,Man. City,Goalkeeper,1003,11,0,0,51.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9,318,277,0,0,0,21,0,0,0,0,0,0,0,0,0,14,14,0,4,1
Mahrez,Man. City,Midfielder,986,12,7,2,120.1,30,5,28,37,18,8,11,1,4,2,0,7,0,2,84.9,482,414,24,49,12,11,6,20,0,1,20,6,1,5,3,0,0,0,0,0
Danjuma,Villarreal,Midfielder,906,11,6,2,107.8,3,8,31,25,14,5,6,3,3,0,0,6,0,1,78.6,165,128,38,13,5,0,6,7,0,0,3,1,0,1,5,0,0,0,0,0
Vertonghen,Benfica,Defender,900,10,0,1,97.9,0,0,3,7,2,3,2,0,0,0,0,0,0,0,83.3,424,360,0,1,0,9,5,4,0,0,51,9,6,3,51,0,0,0,0,0
Vlachodimos,Benfica,Goalkeeper,900,10,0,0,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.8,345,247,0,0,0,52,0,0,0,0,0,0,0,0,0,38,17,1,5,5
Oblak,Atlético,Goalkeeper,900,10,0,0,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7,283,158,0,0,0,31,0,0,0,0,0,0,0,0,0,26,10,0,3,2
Foyth,Villarreal,Defender,891,10,0,0,98.7,0,0,0,4,0,2,2,0,0,0,0,0,0,0,82.1,347,290,0,1,0,8,9,7,0,1,55,20,10,10,30,0,0,0,0,0
Bernardo Silva,Man. City,Midfielder,878,11,3,3,120.3,2,3,18,7,4,2,1,0,3,0,0,3,0,0,91.6,462,427,23,17,4,5,10,6,0,0,25,9,4,5,5,0,0,0,0,0
Lewandowski,Bayern,Forward,876,10,13,3,99.7,0,7,1,31,19,8,4,8,3,1,1,13,0,3,79.1,206,163,10,10,1,1,11,13,0,1,7,4,0,4,0,0,0,0,0,0
Grimaldo,Benfica,Defender,863,10,0,3,107.7,11,1,10,3,1,1,1,0,0,0,0,0,0,0,81.1,319,257,41,34,14,21,5,9,0,2,34,15,6,9,24,0,0,0,0,0
Rodri,Man. City,Midfielder,842,10,0,0,114.6,0,0,0,6,0,1,5,0,0,0,0,0,0,0,94.2,806,760,0,1,0,13,19,4,0,2,52,14,10,4,5,0,0,0,0,0
João Cancelo,Man. City,Defender,840,9,2,3,100.3,0,2,26,11,4,3,4,2,0,0,0,1,1,0,88.0,668,586,20,29,6,11,11,4,0,3,56,9,6,3,13,0,0,0,0,0
Rüdiger,Chelsea,Defender,840,9,1,0,88.4,0,0,0,11,1,8,2,0,0,1,0,1,0,0,90.3,750,681,0,4,0,12,11,3,0,2,46,9,5,4,16,0,0,0,0,0
Mendy,Chelsea,Goalkeeper,840,9,0,0,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,208,173,0,0,0,7,0,0,0,0,0,0,0,0,0,9,7,0,5,2
Reinildo,LOSC,Defender,816,10,0,0,88.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.1,364,302,30,10,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuer,Bayern,Goalkeeper,810,9,0,1,51.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90.9,352,318,0,0,0,8,0,0,0,0,0,0,0,0,0,14,6,0,4,1
Weigl,Benfica,Midfielder,810,9,0,0,112,0,0,0,2,1,0,1,0,0,0,0,0,0,0,89.1,351,316,0,3,0,8,10,5,0,2,35,23,12,11,12,0,0,0,0,0
Otamendi,Benfica,Defender,810,9,0,0,91.2,0,0,0,4,1,3,0,0,0,0,0,0,0,0,84.3,380,328,0,1,0,14,17,11,0,2,63,28,17,11,48,0,0,0,0,0
Sané,Bayern,Midfielder,798,10,6,6,94,3,3,32,33,13,12,8,1,5,0,0,3,3,0,86.8,398,346,26,19,5,8,2,5,0,0,23,1,0,1,0,0,0,0,0,0
Laporte,Man. City,Defender,794,9,0,0,90.9,0,0,0,5,1,4,0,0,0,0,0,0,0,0,94.7,707,672,0,0,0,10,4,2,0,2,51,5,1,4,17,0,0,0,0,0
Müller,Bayern,Forward,778,10,4,3,98.5,10,8,2,14,8,3,3,1,2,1,0,3,1,0,78.9,366,283,28,25,7,1,11,3,0,0,18,8,3,5,2,0,0,0,0,0
Pavard,Bayern,Defender,764,10,0,1,96.7,0,2,0,10,2,7,1,0,0,0,0,0,0,0,90.2,676,613,33,12,4,10,9,4,0,0,55,12,7,5,17,0,0,0,0,0
Thiago Silva,Chelsea,Defender,757,9,0,1,71.7,0,0,0,7,1,2,4,0,0,0,0,0,0,0,93.1,607,571,100,2,2,17,6,5,0,1,65,9,4,5,17,0,0,0,0,0
De Bruyne,Man. City,Midfielder,734,10,2,4,95.5,18,0,14,24,7,9,8,1,0,1,0,2,0,0,82.6,397,334,26,41,11,18,9,9,0,2,11,6,0,6,2,0,0,0,0,0
Škriniar,Inter,Defender,720,8,1,0,85.1,0,0,0,10,3,6,1,1,0,0,0,1,0,0,91.4,451,416,50,4,2,11,5,7,0,1,38,11,6,5,26,0,0,0,0,0
Kristensen,Salzburg,Defender,720,8,0,1,85.5,0,2,12,10,2,5,3,0,0,0,0,0,0,0,65.8,282,191,0,12,0,1,14,4,0,1,36,18,8,10,27,0,0,0,0,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,6,2,4,0,0,0,0,0,0,0,0,94.1,674,633,0,0,0,12,7,7,0,1,53,10,2,8,19,0,0,0,0,0
Marquinhos,Paris,Defender,720,8,0,1,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5,509,475,0,0,0,16,3,3,0,0,42,2,2,0,36,0,0,0,0,0
Fonte,LOSC,Defender,720,8,0,0,81.3,0,0,0,3,0,2,1,0,0,0,0,0,0,0,88.5,369,328,0,0,0,14,6,5,0,3,47,13,9,4,29,0,0,0,0,0
Köhn,Salzburg,Goalkeeper,720,8,0,0,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4,220,156,0,0,0,25,0,0,0,0,0,0,0,0,0,16,14,0,1,3
Handanovič,Inter,Goalkeeper,720,8,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.6,253,230,0,0,0,7,0,0,0,0,0,0,0,0,0,12,7,0,3,5
Hakimi,Paris,Defender,718,8,0,0,85.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,90.4,417,378,10,10,1,5,3,7,0,2,36,7,1,6,11,0,0,0,0,0
Ulmer,Salzburg,Defender,716,8,0,0,84.2,0,0,0,5,2,1,2,0,0,0,0,0,0,0,66.9,277,187,0,16,0,5,13,2,0,2,41,6,2,4,20,0,0,0,0,0
Gilberto,Benfica,Defender,715,9,1,0,85.7,0,0,0,3,1,0,2,1,0,0,0,1,0,0,79.8,291,232,30,13,4,9,16,13,0,1,48,17,8,9,17,0,0,0,0,0
Aaronson,Salzburg,Midfielder,715,8,0,2,103.5,4,5,9,9,3,2,4,0,0,0,0,0,0,0,76.1,239,181,27,18,5,4,3,13,0,0,17,4,0,4,3,0,0,0,0,0
Rafa Silva,Benfica,Forward,704,9,1,1,85.7,0,3,27,9,1,4,4,1,0,0,0,1,0,0,76.1,187,145,37,8,3,2,8,14,0,2,21,12,6,6,1,0,0,0,0,0
Gravenberch,Ajax,Midfielder,703,8,0,1,89.1,15,1,18,9,5,2,2,0,0,0,0,0,0,0,87.4,386,342,0,9,0,9,17,11,0,1,30,4,3,1,10,0,0,0,0,0
Kimmich,Bayern,Midfielder,702,8,0,0,96.4,0,0,0,8,2,2,4,0,0,0,0,0,0,0,89.5,688,616,35,48,17,31,3,17,0,1,41,15,6,9,3,0,0,0,0,0
Marcos Llorente,Atlético,Midfielder,700,9,0,0,83.6,0,0,0,2,1,1,0,0,0,0,0,0,0,0,80.7,249,212,10,10,1,1,13,10,0,3,37,6,0,6,8,0,0,0,0,0
Azpilicueta,Chelsea,Defender,679,9,1,1,82,0,0,3,3,3,0,0,1,0,0,0,1,0,0,88.0,491,434,15,19,3,3,9,3,0,1,26,6,3,3,9,0,0,0,0,0
David,LOSC,Forward,679,8,3,0,86.1,0,0,0,12,5,5,2,1,2,0,0,3,0,1,82.4,148,122,100,3,3,1,4,12,0,0,11,1,1,0,1,0,0,0,0,0
Mbappé,Paris,Forward,673,8,6,4,65.2,4,8,43,27,16,6,5,6,0,0,0,6,0,0,85.4,257,220,13,15,2,0,3,11,0,1,10,1,0,1,2,0,0,0,0,0
Havertz,Chelsea,Midfielder,672,9,3,0,86.3,0,0,0,26,11,9,6,0,1,2,0,3,0,0,86.1,248,210,66,3,2,0,12,9,0,1,7,3,0,3,6,0,0,0,0,0
Camara,Salzburg,Midfielder,672,8,0,0,80.9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,86.5,369,325,0,1,0,18,14,23,0,2,41,14,7,7,4,0,0,0,0,0
Haller,Ajax,Forward,668,8,11,1,82.2,0,3,9,24,15,8,1,3,4,3,1,11,0,1,80.8,162,134,0,0,0,0,17,11,0,1,10,8,2,6,5,0,0,0,0,0
Bastoni,Inter,Defender,666,8,0,0,76.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,89.0,432,387,18,11,2,18,11,8,0,2,46,7,2,5,18,0,0,0,0,0
Koke,Atlético,Midfielder,665,9,0,1,91.2,4,0,2,3,0,2,1,0,0,0,0,0,0,0,81.1,308,252,0,3,0,6,7,11,0,1,30,11,8,3,7,0,0,0,0,0
Rúben Dias,Man. City,Defender,664,8,0,0,83.1,0,0,0,4,1,0,3,0,0,0,0,0,0,0,92.6,464,431,0,0,0,8,6,1,0,0,45,11,1,10,16,0,0,0,0,0
Mazraoui,Ajax,Defender,661,8,0,2,81.5,0,0,13,9,3,3,3,0,0,0,0,0,0,0,86.9,385,338,36,19,7,7,9,8,0,1,40,16,10,6,9,0,0,0,0,0
Gündoğan,Man. City,Midfielder,660,10,0,2,86.4,16,1,3,14,2,4,8,0,0,0,0,0,0,0,90.8,406,367,33,15,5,7,4,7,0,1,13,6,0,6,2,0,0,0,0,0
Upamecano,Bayern,Defender,660,8,0,0,82.3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,93.1,562,519,0,2,0,11,10,5,0,3,46,4,1,3,16,0,0,0,0,0
Foden,Man. City,Midfielder,658,11,3,2,89.1,13,6,12,22,9,7,6,2,0,1,0,3,0,0,81.1,287,238,26,23,6,3,5,10,0,1,10,5,1,4,0,0,0,0,0,0
Seiwald,Salzburg,Midfielder,649,8,0,1,85.3,18,1,5,4,3,0,1,0,0,0,0,0,0,0,69.0,258,190,20,25,5,9,19,3,0,2,44,18,6,12,9,0,0,0,0,0
Estupiñán,Villarreal,Defender,645,10,0,0,76.4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,83.2,282,229,28,14,4,3,7,3,0,2,52,8,4,4,31,0,0,0,0,0
Stones,Man. City,Defender,637,8,0,0,73.2,0,0,0,6,1,4,1,0,0,0,0,0,0,0,94.4,545,523,0,1,0,8,3,3,0,1,33,1,1,0,8,0,0,0,0,0
Brozović,Inter,Midfielder,635,8,1,0,89.3,0,0,0,11,1,4,6,1,0,0,0,1,0,0,90.6,559,506,75,8,6,26,5,6,0,0,38,15,6,9,6,0,0,0,0,0
Coman,Bayern,Forward,632,9,2,3,76.3,4,4,59,20,6,10,4,1,1,0,0,2,0,0,84.2,329,271,30,42,13,0,6,16,0,1,14,2,0,2,4,0,0,0,0,0
Messi,Paris,Forward,630,7,5,0,58.7,0,0,0,26,10,8,8,0,5,0,0,3,2,2,89.9,428,385,35,14,5,12,3,11,0,1,7,2,1,1,1,0,0,0,0,0
